"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","6.312849","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.314897","0.002048","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.316967","0.002070","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.316971","0.000004","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.317995","0.001024","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.317994","-0.000001","114","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.317969","-0.000025","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.320017","0.002048","114","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.321575","0.001558","114","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.321553","-0.000022","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.323622","0.002069","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.323601","-0.000021","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.323623","0.000022","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.329766","0.006143","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.331793","0.002027","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.333329","0.001536","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.333330","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.334379","0.001049","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.334354","-0.000025","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.334353","-0.000001","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.334866","0.000513","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.334865","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.339985","0.005120","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350246","0.010261","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350225","-0.000021","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350225","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350226","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350226","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.350737","0.000511","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.356369","0.005632","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.362001","0.005632","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.369169","0.007168","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.371217","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.371217","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.373266","0.002049","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.373265","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.387115","0.013850","110","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.389138","0.002023","110","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.389138","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.389137","-0.000001","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.391185","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.391185","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.392721","0.001536","101","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.396816","0.004095","128","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.398865","0.002049","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.398865","0.000000","124","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.398865","0.000000","90","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.400913","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.400913","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.402449","0.001536","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.402449","0.000000","118","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.402449","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.404497","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.404496","-0.000001","100","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.405521","0.001025","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.405521","0.000000","91","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.406567","0.001046","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.406571","0.000004","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.408593","0.002022","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.408615","0.000022","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.410640","0.002025","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.412177","0.001537","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.412177","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.414251","0.002074","114","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.414223","-0.000028","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.416271","0.002048","114","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.416271","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.418321","0.002050","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.420394","0.002073","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.422438","0.002044","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.422416","-0.000022","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.422417","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.423952","0.001535","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.423952","0.000000","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.426026","0.002074","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.426027","0.000001","114","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.428070","0.002043","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.430096","0.002026","114","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.434192","0.004096","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.435728","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.437776","0.002048","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.441359","0.003583","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.441899","0.000540","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.445455","0.003556","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.445456","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.447526","0.002070","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.447504","-0.000022","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.449578","0.002074","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.451622","0.002044","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.452111","0.000489","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.453163","0.001052","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.457231","0.004068","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.459307","0.002076","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.461327","0.002020","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.461355","0.000028","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.463376","0.002021","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.463402","0.000026","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.463375","-0.000027","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.465422","0.002047","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.469007","0.003585","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.470031","0.001024","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.470029","-0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.478222","0.008193","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.478221","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.484430","0.006209","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
